,distribution,alpha,gamma
0,"[  1.09685194e+00   4.43101791e-01   3.03617617e-01   2.95615954e-01
   4.01816142e+00   5.53961072e-01   2.95951713e-01   2.12968695e-01
   6.93454016e-01   7.06549206e-01   4.21052280e-03   4.34038148e-01
   1.95980672e+00   1.53028047e+00   1.66229963e-01   5.70005604e-01
   2.61175021e+00   1.65931434e+00   9.87885648e-02   1.37796371e+00
   5.67251834e-01   2.81938159e-01   4.38935535e-01   1.93896948e+00
   1.89751284e-01   1.01577264e+00   1.34743655e+00   1.74153802e-01
   1.01861878e+00   1.86777548e-02   3.70298204e+00   2.39671737e-01
   3.64874838e-01   9.57538227e-01   1.87886118e-01   3.65672351e-02
   3.63507666e-01   1.04968055e+00   9.27082415e-01   2.20924088e-02
   3.43591726e-02   1.28145716e+00   1.19336045e-01   2.15424200e+00
   3.98830697e+00   7.08564260e-01   1.27574721e-01   5.80918957e-01
   1.70549823e+00   1.75479801e+00   1.11491857e-01   8.00857128e-01
   9.56775916e-01   1.03510917e+00   1.10160511e+00   1.24282766e+00
   1.73265801e+00   8.81419266e-01   6.48661530e-01   3.09395304e-01
   5.11137267e-02   1.24133363e+00   2.27505079e-01   2.24548467e+00
   1.06333239e+00   4.33813220e-01   1.54408644e-01   7.57532908e-01
   9.89265269e-01   7.28194118e-01   7.21347681e-01   1.49676054e+00
   9.81999881e-01   8.53413221e-02   5.98369055e-01   6.21575552e-02
   1.83799283e-02   5.05508617e-01   7.78764411e-02   1.05524013e+00
   6.14986927e-01   1.79688917e+00   4.52864870e-02   4.99864803e+00
   7.21872424e-01   3.88100996e+00   3.12007710e-01   2.58986508e-01
   2.35665650e+00   1.85932166e+00   2.12851531e-01   5.72016581e-01
   5.12711389e-01   4.28513554e+00   5.94234947e+00   8.26796796e-01
   1.01140124e+00   2.77178363e-01   5.84926645e-01   2.82135056e-01]",0.5,0.0
1,"[ 0.24656525  0.40769853  0.67083041  0.35094834  2.00717441  0.57630522
  0.99293368  0.14055996  4.70321471  0.91439032  1.01480848  1.89829792
  2.5341015   0.16120889  0.79399614  0.89333991  0.0776294   0.01218713
  0.35818112  2.65340718  0.72689958  0.67639774  0.34537866  0.10371331
  1.87026778  0.3524605   0.34839537  0.52037999  1.41340523  0.39559729
  0.92933198  1.76490421  0.07957356  0.11272562  2.48963717  0.24174449
  0.06822866  0.60840259  6.26319482  2.09679352  1.13361974  0.05633522
  0.83528773  0.82677853  0.4543433   0.83917063  2.05103348  1.96661035
  0.60307069  0.60314309  1.38238099  0.09874789  1.92466173  1.91124383
  4.03367365  0.28877607  0.04223062  0.13258411  0.56101564  0.47532219
  1.06558291  0.19982379  0.1274489   0.82197657  0.43165331  2.19864079
  1.57037179  1.5590795   0.39123969  0.49005191  2.89408111  0.83836549
  0.26539251  0.29243926  0.65424217  0.09940316  1.2606728   0.74093399
  0.31110986  1.12661346  1.50538826  0.08189954  0.16824078  0.00897102
  0.79787385  0.96582989  0.07923979  1.57471537  2.34569033  1.25135129
  0.46645568  1.02563899  1.61540714  2.79353496  0.8132259   0.9458284
  0.03851883  0.51191891  0.40806277  2.22784526]",0.5,0.2
2,"[ 0.83616755  0.58166597  1.88553514  3.44328231  0.36776369  0.05155244
  1.63184863  0.02534058  0.57775087  4.4705587   0.61430919  3.30632123
  0.45419936  5.88336237  0.70516892  2.10280339  1.51856539  1.15815591
  0.1712442   0.18291717  1.23130176  0.04383867  0.8867416   0.01559772
  0.67412957  1.68910621  2.23419237  0.2502669   2.063525    1.05813945
  0.39885349  2.07138858  1.12249481  0.69652017  0.63656232  0.2063276
  0.4297726   0.50252487  0.26995713  2.86157923  0.28623202  0.50771308
  0.13427252  0.84967815  0.29795986  0.13844158  0.17280302  0.47186813
  0.29452166  0.13428626  0.65859663  0.57397424  1.05439393  1.28946532
  0.44754903  2.51476061  0.09679788  1.35792355  1.56046289  0.38766893
  1.1619085   0.29196097  1.55940503  0.08720677  1.00477019  0.94197924
  0.88870188  1.77668221  1.56694507  0.59095012  1.30905196  1.52706464
  0.44097863  0.00836282  0.63403093  0.12488121  0.15030879  3.81071106
  0.84188204  2.73239481  2.02794954  0.43246371  0.16185727  0.05731165
  1.57235898  0.52546845  1.12394221  0.02127816  0.27649038  1.03866635
  0.40220489  0.57492208  0.24316121  4.02221866  0.25304243  0.28053767
  0.24332849  0.19773496  2.43073742  0.12344629]",0.5,0.4
3,"[ 2.42816513  1.08636607  1.51135159  1.02258842  1.46535672  0.29526039
  1.68101653  3.41291993  0.78282307  0.45135397  0.80637088  2.19723338
  1.15783034  0.74564487  1.04220253  0.43427619  0.45285255  0.16403293
  0.25592812  2.20953519  0.3137625   1.3112145   0.69400125  0.43506516
  0.08383718  1.64146014  1.70532618  2.14578735  0.45956089  0.48316964
  0.96862474  0.3230192   0.45137948  0.1307519   0.39239925  2.02736666
  0.04707191  0.15660545  1.32420378  0.34844305  0.46018579  0.18085997
  0.96034718  0.16390828  1.38506643  0.12199506  2.55314275  1.53518693
  0.86658165  1.78859286  3.62236689  0.1951236   0.11647779  0.44938186
  0.73057361  0.42438426  0.07861076  2.03446543  1.43078221  0.66459523
  0.03266613  2.91899063  0.34404554  0.21585317  0.28800517  0.15741396
  1.14582947  0.43268015  1.24510259  1.53233919  0.13044493  0.1170195
  2.7442422   1.71106508  0.95384473  0.49340882  2.32759582  0.0905623
  2.4146522   2.14906844  0.68797603  0.24392408  0.15722399  0.62158883
  1.85586613  0.1734795   0.47187586  0.43216132  1.30278794  0.72714
  0.46441612  0.83128148  2.33828196  0.32021151  0.23135819  0.81705281
  1.09222592  3.72815734  0.91222403  2.3371494 ]",0.5,0.6000000000000001
4,"[ 0.62810246  0.2224908   0.22202872  1.14470499  1.68537337  0.53027659
  0.42136886  0.45433344  0.05188976  0.66309812  1.80494259  0.07237783
  1.49473771  0.78498199  0.81563219  0.60433304  1.44695604  0.40835634
  0.60816718  0.01211408  0.56712662  0.40535367  1.88697089  0.78508373
  2.04691104  0.65152473  0.24744609  0.92101352  2.78056564  2.32127108
  1.63683742  4.3824917   0.19171636  3.23254851  0.88035408  2.32239526
  2.18240674  0.51443082  0.05289084  1.90341236  0.37029804  0.61837589
  0.8167787   1.77859977  0.0234585   0.42175942  1.34764932  0.708831
  2.44812165  1.01953123  1.01563658  0.70422851  1.02803794  0.44478995
  1.53073854  1.59473136  0.26508303  0.33591321  0.37642091  0.45379526
  1.54834668  0.4744097   0.61326229  0.09641782  0.61148727  0.5381677
  0.92645317  1.43047838  0.47444997  3.04248271  0.73734102  2.71482659
  2.57711181  0.36557693  1.88881634  0.75620211  2.58631002  1.20236338
  2.42127886  0.34087952  0.14078568  0.41742345  2.08317279  0.057882
  1.92942385  0.02500337  0.12220109  0.93914636  0.86347739  1.6946738
  0.15184632  0.12273433  0.45174013  0.07278716  0.18269201  0.39148577
  1.27388851  0.47297342  0.0621115   1.90609277]",0.5,0.8
5,"[  3.25656741e-01   1.59608236e-01   3.17481308e+00   1.24961642e+00
   2.15573365e-01   1.49908229e-01   6.88450314e-01   1.16406965e+00
   1.57230688e+00   2.16431685e-01   3.92368674e+00   3.67643022e+00
   2.58927001e+00   1.57139542e+00   8.81662419e-01   1.01690955e+00
   1.07574152e-01   2.49400124e-01   3.06114584e-01   2.22768261e+00
   1.27642102e+00   2.69871744e-01   9.71635764e-02   2.96230473e-01
   9.76033242e-02   1.02216092e+00   1.06738767e+00   1.92732159e+00
   4.92042950e-01   5.72081839e-01   3.87526333e-02   2.44884785e+00
   7.34973076e-01   7.59434090e-01   1.91592032e-01   1.42957673e-01
   1.27676264e+00   4.42556744e-01   2.62447775e-02   9.97252977e-02
   2.19217671e+00   1.10760153e+00   1.91372867e+00   2.80013739e-01
   2.75491370e-01   4.83007888e-01   2.55677293e+00   1.36512011e+00
   3.74663500e-01   5.96044418e-02   1.36164054e+00   6.62533953e-01
   1.26100547e+00   1.30946924e+00   2.68935377e+00   5.47348996e-01
   1.58930369e-01   4.84447956e-01   3.49311724e-01   1.00461113e-02
   3.19984339e-01   3.13765151e-01   4.20288432e+00   5.34449930e+00
   1.45076242e+00   3.77258887e-01   6.16827837e-01   2.09981990e-01
   1.19678502e+00   1.67049174e+00   2.58986797e-01   1.39653255e-01
   7.98313348e-01   4.64165589e-01   1.79816521e+00   1.17945645e-03
   7.77160155e-01   9.91205742e-01   1.76615948e-01   1.72043670e+00
   5.30253509e-01   3.91270048e-01   3.23927342e+00   4.25365851e-02
   6.11277452e-01   3.24245631e-01   2.66356391e+00   1.70551836e+00
   1.17994082e+00   3.62443415e-01   3.13467186e-01   7.03495952e-02
   1.63842407e-01   1.05490754e-01   2.20357814e+00   1.81070287e+00
   2.89592754e-01   5.88697002e-01   2.21826201e+00   1.67609546e-01]",0.5,1.0
6,"[  9.68202789e-01   2.32438066e-01   1.62174071e-01   3.02850603e-01
   1.51153782e-01   1.18563497e+00   1.36483082e+00   1.20119376e+00
   4.19922828e-01   4.62939497e-01   1.66049509e-01   2.78051775e+00
   2.09273717e-01   1.47222195e+00   8.31664742e-01   1.96331596e-01
   7.33642768e-02   4.96889572e-01   8.31482628e-02   5.46076861e-01
   1.60840183e+00   2.96180869e+00   4.97741269e-01   6.41389453e-01
   1.06531367e+00   1.05635620e+00   3.63304839e-03   3.47378006e-02
   9.07335864e-01   5.72722254e-01   2.93222037e+00   2.43465469e+00
   1.92031789e+00   1.47817779e-01   2.87909419e-01   1.40266277e+00
   8.90674471e-01   4.67057952e-01   7.91175393e-01   9.92026834e-01
   3.77428086e+00   1.80995778e-01   3.22497187e-01   1.28737079e-01
   4.50421780e-01   8.07563834e-01   2.03993852e-01   1.50901533e+00
   3.91762676e+00   1.53348637e+00   3.06785236e-01   2.22330117e+00
   2.00762229e+00   5.24729114e-01   5.11424662e-01   5.24860166e-01
   2.97417101e-01   1.14035249e+00   1.95047561e+00   1.22225579e-01
   1.33164641e-01   1.04251027e+00   1.19208644e+00   9.31805491e-01
   2.25773167e+00   3.53547266e-01   7.15401029e-01   7.33569317e-01
   2.51161881e+00   2.75376716e+00   1.10203253e+00   1.50972725e+00
   1.22415518e-01   4.75900151e-02   1.11508839e-01   1.40869334e+00
   7.31851526e-01   7.31212337e-01   4.66639916e-01   6.76909163e-01
   4.60844205e-01   1.48891439e-02   5.56302376e-01   2.26106690e+00
   9.28444773e-01   2.94073328e+00   1.24074313e+00   3.30791763e+00
   2.66862409e+00   5.86608651e-01   8.16022013e-01   3.20581880e-01
   1.42283791e+00   8.27425033e-01   6.93454757e-02   5.11769926e-01
   1.39187088e+00   2.85073238e-01   2.44798462e+00   4.64829910e-02]",0.5,1.2000000000000002
7,"[ 0.47050512  1.61626517  0.41163883  1.47143778  0.33303704  0.0960432
  3.16566384  0.65357249  0.01412022  0.52774061  0.24595297  2.14453857
  3.12415631  0.38455301  1.77676629  1.18920336  0.05371304  0.23353015
  4.68442947  0.81544157  1.02353755  0.42993734  1.62267787  0.59060163
  2.65341235  0.72209154  2.05712179  0.73787426  0.30434575  1.60830991
  0.9132554   3.03502943  0.76977903  0.38270235  1.02331995  1.47156049
  0.36274707  0.47683102  0.77378872  1.09443341  0.55618284  0.81792282
  0.77879195  0.01287014  0.04378738  1.97616513  1.19144094  0.09047138
  1.91659427  2.05134404  0.75640127  0.03125071  0.88521986  5.09962314
  0.16066203  0.29704277  3.91171366  1.39799323  0.14937603  1.19591911
  0.49348993  0.51811885  1.78204954  0.14110468  0.31757779  1.85186063
  0.55913144  2.56564297  0.86687108  0.05568272  0.06086652  0.21482822
  0.7884844   1.57952866  0.2549869   0.21202244  1.07037062  0.33477329
  0.66791436  0.02628768  0.67773973  0.90314654  0.51667321  0.0253592
  0.62198126  0.76401206  0.05679052  1.18988077  0.24104273  0.60096727
  1.79385672  0.03464541  2.74158076  1.1318016   1.39351917  0.75387916
  0.80594596  1.37860041  0.55648354  0.66406269]",0.5,1.4000000000000001
8,"[ 0.66410276  0.89801708  1.06591466  0.19904914  0.14064525  1.0088628
  2.40768245  0.54151219  1.25089102  1.82033655  0.72231676  0.58538349
  0.09270056  2.14345796  0.99487726  1.64566647  1.35579522  1.04464464
  0.49041924  2.34423359  0.35805907  0.19541891  4.19370863  0.86792753
  0.33741648  0.74629175  0.75252154  1.73482935  0.37124075  0.16511038
  0.45798024  2.43570961  5.03672873  0.43980313  1.78540821  2.36146078
  1.61468891  1.98027377  0.10225247  2.81297565  0.47114122  2.78389723
  0.63794953  0.55894301  3.41232845  0.15817931  1.44023432  0.2871752
  0.82432515  0.00848044  0.55285013  0.66762929  0.52011805  2.10394209
  0.80308091  1.18789053  0.25928344  1.54999864  0.60186701  0.71582087
  0.69558404  1.05326854  0.02827536  0.10940556  1.16202635  1.07032178
  0.40221887  0.57478213  0.02818824  0.14202277  1.32818299  0.54940794
  0.15233991  2.79359275  0.21781096  1.39239044  0.47239683  1.14799783
  0.64905707  0.26224653  1.2155495   0.54138705  2.37826057  0.51231797
  0.54554026  1.51359045  0.58463853  0.34944827  0.21470376  0.29398807
  0.00934734  0.71818342  0.44874123  1.1866036   0.13509255  1.04865994
  1.06031372  1.78535262  0.95613195  0.55918248]",0.5,1.6
9,"[ 0.93297549  0.19571834  0.57560331  1.87016993  0.8759864   1.23338215
  0.55030118  0.20999947  3.58033729  1.07061229  1.33956778  0.62503842
  2.79710389  0.18202503  0.2285497   0.14893816  1.66056536  0.01157525
  0.33007825  1.81047425  1.88232077  0.42261375  0.09221317  0.55814672
  1.83982428  0.06999934  1.82194117  0.33445078  0.26642957  0.83664656
  2.11376723  0.33554619  0.02338062  0.41666561  0.40594602  2.37002377
  0.97625431  0.5206172   0.38339489  2.86539236  0.93493054  0.18544749
  0.64146577  0.38534205  0.80066692  1.34955025  0.97630055  1.5049712
  0.855839    1.46886255  3.64707833  3.00105537  6.02467924  2.10808208
  2.06730733  0.80628512  1.39011298  0.05632028  0.5709112   0.00633131
  1.69614593  0.71772855  1.10553121  0.31397762  1.23696712  0.2245858
  1.23378405  0.1325926   0.15944783  0.53946661  4.79413254  0.04495546
  0.4264701   0.18720357  1.1398112   1.26833373  0.5547446   0.20287209
  2.5274872   1.75085347  0.02859689  0.59279516  0.39001885  1.49663919
  0.36210818  0.29022267  0.85240903  2.05427682  0.16961974  2.80570139
  0.01268978  0.47962237  0.38421482  1.03890503  0.06847296  0.03250272
  0.02634062  0.30829474  0.30449288  0.49886907]",0.5,1.8
