cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/25/2016,10/31/2016,"Google Consumer Surveys","B",24316,"lv",5.889256,37.69,35.07,6.18,,42.63157,41.69424,5.204563,,"","https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS",47940,74999,11/1/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/28/2016,11/1/2016,"Ipsos","A-",1772,"lv",4.777812,44.7,37.4,5.3,,44.36084,37.78244,5.543445,,"","http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1",48114,75376,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/30/2016,11/2/2016,"ABC News/Washington Post","A+",1151,"lv",4.616038,47,44,3,,45.22941,42.86274,3.341849,,"","https://www.washingtonpost.com/news/the-fix/wp/2016/11/04/clinton-up-47-44-in-post-abc-tracking-poll-despite-trumps-9-point-edge-on-dealing-with-corruption/",48268,75634,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Wisconsin",10/26/2016,10/31/2016,"Marquette University","A",1255,"lv",3.99187,46,40,4,,45.54492,41.09876,2.61624,,"","https://twitter.com/MULawPoll",48095,75264,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/31/2016,10/31/2016,"Gravis Marketing","B-",5360,"rv",3.892097,46,45,4,,46.09519,44.64463,4.297821,,"","http://www.realclearpolitics.com/docs/2016/Gravis_November_3rd_2016.pdf",48262,75570,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Virginia",10/27/2016,10/30/2016,"ABC News/Washington Post","A+",1024,"lv",3.827959,48,42,6,,46.10046,41.59663,5.911077,,"","https://www.washingtonpost.com/local/virginia-politics/clinton-leads-trump-in-virginia-in-new-washington-post-poll-propelled-by-voter-rich-northern-virginia/2016/10/31/1e560cce-9f9c-11e6-8832-23a007c77bb4_story.html",47880,74934,11/1/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"New Hampshire",10/31/2016,11/1/2016,"Public Policy Polling","B+",1169,"lv",3.418574,48,43,,,45.60098,40.77729,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48327,75700,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",11/1/2016,11/3/2016,"The Times-Picayune/Lucid","",2627,"lv",3.310952,44,39,6,,44.09346,41.20478,4.725809,,"","https://luc.id/2016-presidential-tracker/",48336,75720,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/31/2016,10/31/2016,"Gravis Marketing","B-",2606,"rv",3.30195,47,46,3,,47.09832,45.6244,3.297821,,"","http://www.realclearpolitics.com/docs/2016/Gravis_PA_November_3rd_2016.pdf",48260,75565,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/31/2016,11/1/2016,"Public Policy Polling","B+",1083,"lv",3.299037,49,47,,,47.86086,45.96563,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48326,75699,11/4/16,"14:18:34  4 Nov 2016"
