,alpha,gamma,distribution,parameters
0,0.5,0.0,pareto,"(1.5263644960205944, -1.600692060383244, 0.7530157016540644)"
1,0.5,0.1,pareto,"(5.4828909947343156, -4.6865742401281771, 3.8350361837940001)"
2,0.5,0.2,pareto,"(1.6165087537700766, -1.6052196522699198, 0.77969017990836686)"
3,0.5,0.30000000000000004,pareto,"(5.7497513032947509, -4.9173502642365294, 4.0646922630764406)"
4,0.5,0.4,pareto,"(1.1715113020817343, -1.503404808740108, 0.60153969437890398)"
5,0.5,0.5,pareto,"(24.938756541653781, -24.132430255359608, 23.167624465269753)"
6,0.5,0.6000000000000001,pareto,"(1.2751746820468406, -1.6353918398853919, 0.69936559398712506)"
7,0.5,0.7000000000000001,pareto,"(1.0664289710942276, -1.4164437950067583, 0.54201380185637138)"
8,0.5,0.8,pareto,"(15.393545533086854, -14.532718649586347, 13.587683481060964)"
9,0.5,0.9,pareto,"(1.4995719654989617, -1.8280213781801951, 0.86895423551432716)"
10,0.5,1.0,pareto,"(1.4302209408013509, -1.7908669014276866, 0.83511454411182706)"
11,0.5,1.1,pareto,"(1.5699905380221262, -1.7060945141987025, 0.827547601757743)"
12,0.5,1.2000000000000002,pareto,"(1.5408654978891771, -1.6948376238881342, 0.80749386373868981)"
13,0.5,1.3,pareto,"(1.285058285547418, -1.6047944050437573, 0.68804648460798079)"
14,0.5,1.4000000000000001,pareto,"(1.4614874664616568, -1.9001959817837952, 0.88919975524046668)"
15,0.5,1.5,pareto,"(1.4730080204849467, -1.7060033927659104, 0.79741321480991267)"
16,0.5,1.6,pareto,"(1.4873154620569695, -1.855275958759933, 0.88090750937661277)"
17,0.5,1.7000000000000002,pareto,"(1.4435683024770578, -1.7670755191001657, 0.81904456290588756)"
18,0.5,1.8,pareto,"(1.6525861917989464, -1.9171234183554302, 0.94971947757502995)"
19,0.5,1.9000000000000001,pareto,"(1.4420428994615784, -1.7598971152061091, 0.81907821500124545)"
20,0.5,2.0,pareto,"(1.5308641967830199, -1.7696729327646614, 0.84567395480802277)"
21,0.5,2.1,pareto,"(0.94156668745578775, -1.5181651766715749, 0.56390590903694937)"
22,0.5,2.2,pareto,"(1.619691557381763, -1.7323793075454055, 0.86308946743159343)"
23,0.5,2.3000000000000003,pareto,"(1.5047749563822581, -1.8052649907511085, 0.85624486820965662)"
24,0.5,2.4000000000000004,pareto,"(1.4999812773022043, -1.8106892316232637, 0.85936954580793068)"
25,0.5,2.5,pareto,"(1.581516543518565, -1.7718177460376929, 0.85583233822754856)"
26,0.5,2.6,pareto,"(58.264184428074813, -57.197692145062845, 56.215989990876778)"
27,0.5,2.7,pareto,"(6.0776081140955576, -5.3210885996559227, 4.4473156680321075)"
28,0.5,2.8000000000000003,pareto,"(1.5543451639631609, -1.9525198448003445, 0.94194943008377541)"
29,0.5,2.9000000000000004,pareto,"(1.6645379056529168, -1.5909979542928037, 0.79169784236859508)"
30,0.5,3.0,pareto,"(1.4880644829515366, -1.6736016725820013, 0.77706547250299118)"
31,0.5,3.1,pareto,"(1.5607388362279013, -1.7994114428000825, 0.87883133026606108)"
32,0.5,3.2,pareto,"(1.5317742137090611, -1.7750096101793238, 0.8510419636910993)"
33,0.5,3.3000000000000003,pareto,"(1.6241320306155003, -1.7072762148719622, 0.84365345100000422)"
34,0.5,3.4000000000000004,pareto,"(1.5088810498579466, -1.7764443897641693, 0.83250229966199096)"
35,0.5,3.5,pareto,"(9.1091295627662063, -8.3176464423970522, 7.4057740224776865)"
36,0.5,3.6,pareto,"(8.8042750305655897, -8.1368746657182243, 7.2146768480720018)"
37,0.5,3.7,pareto,"(13.617414808582929, -12.168338161437198, 11.274178804706317)"
38,0.5,3.8000000000000003,pareto,"(1.4775517405399956, -1.8182734849466367, 0.86043724102851815)"
39,0.5,3.9000000000000004,pareto,"(1.4798559730487315, -1.8059124879483388, 0.85021805936294648)"
40,0.6,0.0,pareto,"(1.1939582965932933, -1.3697585711186531, 0.54292139325126099)"
41,0.6,0.1,pareto,"(4.5238592382822809, -3.6399247507566508, 2.8383995422061208)"
42,0.6,0.2,pareto,"(4.5011798164324608, -3.7193466130410311, 2.8972170569032833)"
43,0.6,0.30000000000000004,pareto,"(1.8892241027420074, -1.7866179182723001, 0.95927845270913759)"
44,0.6,0.4,pareto,"(1.4908858079926248, -1.6682029004744223, 0.7804007824854633)"
45,0.6,0.5,pareto,"(4.8992520735304286, -3.863493939075636, 3.0750488786269683)"
46,0.6,0.6000000000000001,pareto,"(1.5809152282230126, -1.6941103442530812, 0.82070255593590657)"
47,0.6,0.7000000000000001,pareto,"(1.6465835270124085, -1.4915679866838945, 0.73156530335389103)"
48,0.6,0.8,pareto,"(1.6166781341437835, -1.8521027000386534, 0.91979078897932021)"
49,0.6,0.9,pareto,"(1.5435206052096073, -1.678398998493229, 0.80171742295698389)"
50,0.6,1.0,pareto,"(7.7442453759359626, -6.4456073128879696, 5.6119194598317765)"
51,0.6,1.1,pareto,"(1.5871415567076532, -1.6811066023381995, 0.81614961347288628)"
52,0.6,1.2000000000000002,pareto,"(2.233685035931011, -1.9441738750585911, 1.1483138989049149)"
53,0.6,1.3,pareto,"(4.733299310360688, -4.1060395092225175, 3.2456324782624852)"
54,0.6,1.4000000000000001,pareto,"(39.90509757009098, -39.068292887527214, 38.088812033650399)"
55,0.6,1.5,pareto,"(1.4939524090908054, -1.6685883122439455, 0.77785471958875396)"
56,0.6,1.6,pareto,"(1.5868103243814606, -1.6886349281056923, 0.81707171832031755)"
57,0.6,1.7000000000000002,pareto,"(1.4356954567361404, -1.595616668551969, 0.72122130877354718)"
58,0.6,1.8,pareto,"(1.5779399386085999, -1.6971137567398014, 0.82246269032808561)"
59,0.6,1.9000000000000001,pareto,"(0.80423501261813191, -1.4095803405675373, 0.48425268706919633)"
60,0.6,2.0,pareto,"(1.5157520729540446, -1.5950677118638363, 0.75463997798555238)"
61,0.6,2.1,pareto,"(1.1828716970301665, -1.3943165151123367, 0.55460516943706284)"
62,0.6,2.2,pareto,"(2.8973090176100751, -2.8512201323999777, 1.8924075820414514)"
63,0.6,2.3000000000000003,pareto,"(0.73343963310525195, -1.4545000397591812, 0.5581030157233231)"
64,0.6,2.4000000000000004,pareto,"(1.4979148400196434, -1.655822513748582, 0.77678795822360791)"
65,0.6,2.5,pareto,"(1.4435500321594235, -1.59224540151755, 0.72330049044996825)"
66,0.6,2.6,pareto,"(14605857.748468515, -16766435.576985139, 16766434.619870719)"
67,0.6,2.7,pareto,"(1.3013178952765099, -1.4676408964256429, 0.60842958387851631)"
68,0.6,2.8000000000000003,pareto,"(1.5342072946354564, -1.5838373644407668, 0.74577995330034097)"
69,0.6,2.9000000000000004,pareto,"(1.5159487973079897, -1.7519266534711901, 0.82617832458747698)"
70,0.6,3.0,pareto,"(1.9576151638300097, -2.0676624204009659, 1.1368414906616386)"
71,0.6,3.1,pareto,"(15.106460764762829, -14.41380446732645, 13.459084256861146)"
72,0.6,3.2,pareto,"(22.032506076225019, -21.113057036370044, 20.154882003549687)"
73,0.6,3.3000000000000003,pareto,"(1.8123880219143675, -1.8665093799129151, 0.98160919711640626)"
74,0.6,3.4000000000000004,pareto,"(1.3420625076881489, -1.4896715350958791, 0.65435220216411616)"
75,0.6,3.5,pareto,"(1.4862489301965276, -1.7360924420027917, 0.82116939114946774)"
76,0.6,3.6,pareto,"(5.1549227088629728, -4.3222011329153922, 3.4868384662278715)"
77,0.6,3.7,pareto,"(6.4543810684524789, -5.8231494452439296, 4.9251542394235823)"
78,0.6,3.8000000000000003,pareto,"(1.0293454074058923, -1.3173140849958047, 0.46571888749706936)"
